name,region,address,zip_town,tel,email,website,open,km_from_reykjavik,km_from_seydisfjordur,lat,lon,facilities,maps_url,page
Akranes,West Iceland,Kalmansbraut,300 Akranes,003547902266,camping.akranes23@gmail.com,,5. May –15. September,"48,5",623,64.13365489755928,-22.140720918605457,Tent; Caravan; Toilets; Hot water; Cold water; Electricity; Dryer; Shower; Waste; Mountain view; Hikes; BBQ facilities; Chairs & Tables; Information; Wifi; Dogs on a leash allowed; Open fires forbidden,"https://www.google.com/maps?q=64.13365489755928,-22.140720918605457",https://utilegukortid.is/akranes/?lang=en
Grundarfjörður,West Iceland,Borgarbraut 19,350 Grundarfjörður,003548317242,camping@grundarfjordur.is,grundarfjordur.is,1st of May – 15th of September,178,665,64.92797809976031,-23.25741616306196,Open fires forbidden; Swimming pool; Toilets; Tent; Mountain view; Motorhome waste disposal; Hot water; Cold water; Electricity; Dogs on a leash allowed; Caravan; Waste,"https://www.google.com/maps?q=64.92797809976031,-23.25741616306196",https://utilegukortid.is/grundarfjordur/?lang=en
Tjaldsvæði að Hlöðum,West Iceland,Hlaðir í Hvalfirði,301 Akranes,003544338980,sund@hladirsund.is,hladirsund.is/tjaldsvadi,23. maí – 31. ágúst,64,622,64.4104278,-21.611374299999998,Toilets; Cold water; Playground; Electricity; Shower; Waste; Swimming pool,https://maps.app.goo.gl/J4VSfG27BtPSdPUR8,https://utilegukortid.is/tjaldsvaedi-ad-hlodum/?lang=en
Tjaldsvæðið búðardal,West Iceland,"Vesturbraut, 370 Búðardalur",370 Dalabyggð,003547672100,dalahestar@gmail.com,Dalir | West Iceland,1. maí –30. september,154,561,65.1083021,-21.763641699999997,Tent; Caravan; Toilets; Hot water; Cold water; Electricity; Shower; Waste; Chairs & Tables; Dogs on a leash allowed; Open fires forbidden; Washing machine; Cooking facilities; Restaurant; Playground; BBQ facilities; Horse rental; Motorhome waste disposal,https://maps.app.goo.gl/dwxP529r5RtaL1EA8,https://utilegukortid.is/tjaldsvaedid-budardal/?lang=en
Bolungarvík,Westfjords,"Bolungarvík, by the swimming pool",415 Bolungarvík,003544567381,sundlaug@bolungarvik.is,www.bolungarvik.is/sund,15th of May – 30th September,467,843,66.15511743446704,-23.2559790977661,Tent; Toilets; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Telephone; Mountain view; Playground; Restaurant; Shower; Swimming pool; Hot tubs; Indoor pool; Motorhome waste disposal; Information; Hospital; Horse rental; Golf; Fishing; Gasoline; Hikes; Horse facilities; Cooking facilities; Changing Station; Dryer; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; BBQ facilities; Chairs & Tables; Alcohol; Boat rental; ATV Rental,"https://www.google.com/maps?q=66.15511743446704,-23.2559790977661",https://utilegukortid.is/bolungarvik/?lang=en
Drangsnes,Westfjords,Drangsnes,520 Drangsnes,7628455,Baldursamkomuhus@gmail.com,www.facebook.com/tjaldsvaedidadrangsnesi,May 15 – September 15,264,640,65.6903793595349,-21.455449973830845,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Mountain view; Playground; Restaurant; Shower; Swimming pool; Hot tubs; Motorhome waste disposal; Fishing; Hikes; Dryer; Electricity; Washing machine; Coffee shop; Cooking facilities,"https://www.google.com/maps?q=65.6903793595349,-21.455449973830845",https://utilegukortid.is/drangsnes/?lang=en
Grettislaug á Reykhólum,Westfjords,Grettislaug á Reykhólum,380 Reykhólahreppur,003544347738,grettislaug@reykholar.is,www.reykholar.is,1st of June – 30th of September,228,620,65.43799768875664,-22.267897553721504,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Supermarket; Mountain view; Playground; Restaurant; Shower; Swimming pool; Hot tubs; Hospital; Fishing; Gasoline; Hikes; Electricity; Dogs on a leash allowed; Coffee shop; Chairs & Tables; Alcohol; Motorhome waste disposal,"https://www.google.com/maps?q=65.43799768875664,-22.267897553721504",https://utilegukortid.is/grettislaug-a-reykholum/?lang=en
Patreksfjörður,Westfjords,Aðalstræti 107,450 Patreksfjörður,003544565006,info@vesturbyggd.is,,15 of May – 30th of September,391,783,65.52109328688442,-24.10446569593162,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Mountain view; Restaurant; Motorhome waste disposal; Gasoline; Hikes; Cooking facilities; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; BBQ facilities; Chairs & Tables; Wifi; Shower,"https://www.google.com/maps?q=65.52109328688442,-24.10446569593162",https://utilegukortid.is/patreksfjordur/?lang=en
Tungudalur,Westfjords,Tungudalur,400 Ísafirði,003547817585,camping.isafjordur@gmail.com,,10 of June -15th of September,453,829,66.05976837900832,-23.23040019744444,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Wheelchair accessible; Waste; Sports field; Mountain view; Playground; Restaurant; Shower; Motorhome waste disposal; Hospital; Golf; Hikes; Changing Station; Dryer; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; BBQ facilities; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=66.05976837900832,-23.23040019744444",https://utilegukortid.is/tungudalur/?lang=en
Tálknafjörður,Westfjords,"Strandgötu, Sveinseyri",460 Tálknafjörður,003548239987,camping@talknafjordur.is,www.vesturbyggd.is,1. maí–15. október,404,795,65.62302947660919,-24.134788516380972,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Mountain view; Restaurant; Motorhome waste disposal; Gasoline; Hikes; Cooking facilities; Electricity; Washing machine; Dogs on a leash allowed; Caravan; BBQ facilities; Chairs & Tables; Wifi,"https://www.google.com/maps?q=65.62302947660919,-24.134788516380972",https://utilegukortid.is/talknafjordur/?lang=en
