name,lat,lon,on_card,card_name,card_open,opening_hours,seasonal,operator,website,phone,shower,toilets,drinking_water,power_supply,osm
Bakkafjörður,66.037107,-14.802142,,,,Jun 1-Sep 15,,,https://www.langanesbyggd.is/,+354 468 1515;+354 895 1686,no,,,,https://www.openstreetmap.org/way/485351115
Bakkaflöt,65.463331,-19.345846,,,,,,,https://bakkaflot.is/accommodation/,,,,,,https://www.openstreetmap.org/way/228249502
Bjarg,65.640252,-16.91397,,,,"Mo-Su 10:00-10:30, 18:00-21:00",,,,+354 464 4240,yes,yes,yes,yes,https://www.openstreetmap.org/way/485352747
Bjargaflöt,63.677578,-19.48265,,,,,,,,,,,,,https://www.openstreetmap.org/way/911130492
Bjarkarlundur,65.556043,-22.101598,,,,,,,http://www.bjarkalundur.com,+354 434 7863,,,,,https://www.openstreetmap.org/way/496339866
Bjarnarnes,66.391302,-22.353015,,,,,,,,,,,,,https://www.openstreetmap.org/node/4393992411
Bjarteyjarsandur,64.397992,-21.509964,,,,,,,https://www.bjarteyjarsandur.is/,+354 433 8831,yes,,,,https://www.openstreetmap.org/way/482486028
Blagil,63.966443,-18.321453,,,,,,,,,,,,,https://www.openstreetmap.org/node/4370113492
Blágil,64.089684,-18.110116,,,,,,,,,,,,,https://www.openstreetmap.org/node/4305203589
Blágil,63.966982,-18.324363,,,,,,,,,,,,,https://www.openstreetmap.org/way/436501046
Blönduós,65.659101,-20.275294,,,,,,,https://www.gladheimar.is/,+354 690 3130;+354 820 1300,yes,,yes,yes,https://www.openstreetmap.org/way/485347177
Borg í Grimsnesi,64.076627,-20.770973,,,,,,,https://www.gogg.is/,+354 767 3411,,,,,https://www.openstreetmap.org/way/305483199
Bragðavellir,64.644849,-14.516095,yes,Tjaldvæðið Bragðavöllum,1. May – 15. September,,,,,,yes,yes,yes,yes,https://www.openstreetmap.org/way/1422144535
Breiðavík við Latrabjarg,65.549693,-24.352804,,,,,,,https://breidavik.is/accommodation/camping/,+354 456 1575,hot,yes,,cee_17_blue,https://www.openstreetmap.org/way/233309453
Breiðdalsvík,64.79285,-14.007386,,,,,,,https://en.visitfjardabyggd.is/where-to-stay/camping,+354 470 5560,,,,,https://www.openstreetmap.org/way/727899485
Brúðkaupflöt,63.677745,-19.482886,,,,,,,,,,,,,https://www.openstreetmap.org/way/911130491
