brand,layer,lat,lon,locality
Orkan X,GASOLINERAS,64.1320606,-21.8933032,Reykjavíkurborg
Orkan,GASOLINERAS,64.2794582,-20.4433804,
Orkan,GASOLINERAS,63.9724563,-22.5429919000001,Keflavík
Olís,GASOLINERAS,63.9796615,-22.5467161,Keflavík
N1,GASOLINERAS,63.9367431,-20.98752,Selfoss
N1 Árnes,GASOLINERAS,64.0413197,-20.2510317,Árnes
Olís Hrauneyjar,GASOLINERAS,64.1968409,-19.2848425,
N1,GASOLINERAS,64.3098133,-20.3016619,
Víkurskáli,GASOLINERAS,63.417702,-19.0014553,Vík
N1,GASOLINERAS,63.7496513,-20.2340412999999,Hvolsvöllur
N1,GASOLINERAS,63.7939154,-18.0399282,Kirkjubæjarklaustur
N1 (self-service only),GASOLINERAS,63.8813746,-16.6458302,
N1,GASOLINERAS,64.2589969,-15.2062823,Höfn
N1,GASOLINERAS,64.6561149,-14.2862537,Djúpivogur
N1 Gas Station,GASOLINERAS,65.2604544,-14.4077681,Egilsstaðir
N1,GASOLINERAS,65.641715,-16.9111693,Vogar við Mývatn
N1,GASOLINERAS,65.7208589,-17.3721324000001,Laugar
N1 petrol,GASOLINERAS,65.6862178,-17.5389188,
N1,GASOLINERAS,65.6602025,-20.2758694,Blönduós
N1 Gas station,GASOLINERAS,65.1077809,-21.7636401,Búðardalur
Orkan,GASOLINERAS,64.921536,-23.2466547,Grundarfjarðarbær
N1,GASOLINERAS,64.843602,-22.6536312000001,
Orkan,GASOLINERAS,64.5436993,-21.9085937,Borgarbyggð
N1,GASOLINERAS,64.1659938,-21.6955519000001,Mosfellsbær
N1,GASOLINERAS,64.1384148,-21.7721129,Reykjavíkurborg
N1,GASOLINERAS,65.5280412,-13.8171516,Bakkagerði
N1,GASOLINERAS,65.927642,-22.4287911,
N1 Flókalundur (Self-Service),GASOLINERAS,65.5760686,-23.1678486,
N1 Hellissandur,GASOLINERAS,64.915017,-23.8842111,Hellissandur
N1 Grundarfjörður,GASOLINERAS,64.9250386,-23.2603529,Grundarfjarðarbær
N1,GASOLINERAS,64.3098133,-20.3016619,
