category,name,lat,lon
Cultural Centres & Museums,Akureyri Museum,65.6666472,-18.0862578
Cultural Centres & Museums,Arctic Fox Centre,66.03049,-22.9916969999999
Cultural Centres & Museums,Fræðasetrið Nature Center,64.0411791,-22.712624
Cultural Centres & Museums,Harpa Concert Hall and Conference Centre,64.1503366,-21.9327021
Cultural Centres & Museums,Icelandic Phallological Museum,64.1430334,-21.9156432
Cultural Centres & Museums,Icelandic Seal Center,65.3956467,-20.9486103
Cultural Centres & Museums,Icelandic Wonders,63.836606,-21.0640559999999
Cultural Centres & Museums,Museum of Icelandic Sorcery and Witchcraft,65.7065374,-21.6656455
Cultural Centres & Museums,Neskaupstaður's Museum House,65.1472782,-13.6886268
Cultural Centres & Museums,Petra's Stone Collection,64.8354696,-13.8805212
Cultural Centres & Museums,The Icelandic Sea Monster Museum,65.6866671,-23.5976886999999
Cultural Centres & Museums,Samuel's Sculptures,65.7774894444444,-24.0037294444444
Cultural Centres & Museums,Seyðisfjörður Local Crafts Market,65.2612551,-14.0029013
Cultural Centres & Museums,Skaftfell - Center for Visual Art,65.261529,-13.9986397
Cultural Centres & Museums,The Exploration Museum,66.047844,-17.3443520000001
Cultural Centres & Museums,Bobby Fischer Center,63.9375099,-20.9964163
Cultural Centres & Museums,Ljósafossstöð,64.0945201,-21.0102367
Cultural Centres & Museums,Sagnagarður,63.8639504,-20.2174633
Cultural Centres & Museums,LAVA Centre,63.7531739,-20.2362726
Cultural Centres & Museums,Skógar Folk Museum,63.5261584,-19.4929862
Cultural Centres & Museums,The Thórbergur Center,64.1297088,-16.0186672
Cultural Centres & Museums,Gamlabúð Visitor Center / Vatnajökull National Park,64.2504123,-15.2038549
Cultural Centres & Museums,Skriduklaustur,65.041417,-14.9532721
Cultural Centres & Museums,East Iceland Heritage Museum,65.262566,-14.396389
Cultural Centres & Museums,Icelandic Wartime Museum (Íslenska stríðsárasafnið),65.03816,-14.2087463
Cultural Centres & Museums,Tækniminjasafn,65.2651211,-13.9921148999999
Cultural Centres & Museums,Vopnafjörður,65.7549521,-14.8271966
Cultural Centres & Museums,Sigurgeir's Bird Museum,65.628827,-16.9950577
Cultural Centres & Museums,Laufás Museum,65.8941789,-18.0724454
Cultural Centres & Museums,Safnasafnið,65.7492851,-18.0750249
Cultural Centres & Museums,INTO THE ARCTIC,65.6856353,-18.079432
Cultural Centres & Museums,Aviation Museum,65.6511593,-18.0751718
