variant,version,day,date,order,name,kind,category,tier,popularity,cost,tickets,minutes,lat,lon,day_km,day_driving_hours,day_hours,night,night_on_card
final,v4,1,2026-09-12,1,Keflavík Airport,start,,,,unknown,,30,63.985,-22.6056,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,2,Þingvellir National Park,sight,The Ultimate Golden Circle Route,Tier 1 (S-Tier),Iconic,parking fee (per car),Paid Parking Fee (~1000 ISK),45,64.2571245,-21.1307055,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,3,Öxarárfoss,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,64.2659199,-21.1182976,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,4,Lögberg,quick,Points of Interest,Unranked,Not assessed,unknown,Not assessed,15,64.2597454,-21.1223641,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,5,Geysir Geothermal Area,sight,The Ultimate Golden Circle Route,Tier 1 (S-Tier),Iconic,free,Free / Open Access,45,64.279147,-20.358267,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,6,Strokkur Geyser,quick,Points of Interest,Tier 1 (S-Tier),Iconic,free,Free / Open Access,15,64.3130512,-20.3005275,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,7,Gullfoss,sight,Waterfalls,Tier 1 (S-Tier),Iconic,free,Free / Open Access,45,64.3273726,-20.1213527,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,8,Brúarhlöð,quick,Points of Interest,Unranked,Not assessed,unknown,Not assessed,15,64.3013756,-20.1552772,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,9,Kerið,optional,Points of Interest,Tier 2 (A-Tier),Very High,ticket (per person),Paid Entrance Ticket (~600 ISK),30,64.0412777,-20.8851385,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,1,2026-09-12,10,Urridafoss,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,63.9246142,-20.6721926,300.9,4.9,9.4,Tjaldsvæðið Hvolsvelli,
final,v4,2,2026-09-13,1,Seljalandsfoss,sight,Waterfalls,Tier 1 (S-Tier),Iconic,parking fee (per car),Paid Parking Fee (~800 ISK),45,63.6154882,-19.9883253,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,2,Gljúfrafoss,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,63.6212538,-19.988122,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,3,Skógafoss,sight,Waterfalls,Tier 1 (S-Tier),Iconic,free,Free / Open Access,45,63.5320952,-19.5116355,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,4,Kvarnarhólsárfoss,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,63.528779,-19.481304,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,5,Dyrhólaey,sight,Points of Interest,Tier 2 (A-Tier),Very High,free,Free / Open Access,35,63.4030714,-19.1155243,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,6,Dyrhólaey lighthouse,quick,Points of Interest,Unranked,Not assessed,unknown,Not assessed,15,63.3997473,-19.1259956,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,7,Reynisfjara Beach,sight,Points of Interest,Tier 1 (S-Tier),Iconic,parking fee (per car),Paid Parking Fee (~1000 ISK),45,63.402399,-19.0397357,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,8,Vík í Mýrdal,town,,,,unknown,,20,63.4187,-19.006,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,9,Fjaðrárgljúfur,sight,Hikes / Places to Hike,Tier 1 (S-Tier),Iconic,parking fee (per car),Paid Parking Fee (~1000 ISK),45,63.771279,-18.1718159,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,10,Stjórnarfoss,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,63.799752,-18.0613013,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,11,Systrafoss,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,63.7875323,-18.0595936,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,12,Kirkjugólf,quick,Points of Interest,Unranked,Not assessed,unknown,Not assessed,15,63.7953654,-18.0463781,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,13,Foss á Sídu,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,63.8537014,-17.8720844,263.4,5.5,11.4,Skaftafell,
final,v4,2,2026-09-13,14,Dverghamrar,quick,Points of Interest,Unranked,Not assessed,unknown,Not assessed,15,63.8490011111111,-17.861471388889,263.4,5.5,11.4,Skaftafell,
final,v4,3,2026-09-14,1,Svartifoss waterfall (Parking),hike,Waterfalls,Tier 2 (A-Tier),Very High,parking fee (per car),Paid Parking Fee (~1000 ISK),90,64.026412,-16.9767051,278.8,4.6,8.9,Camping Berunes,
final,v4,3,2026-09-14,2,Hofskirkja,quick,Points of Interest,Unranked,Not assessed,unknown,Not assessed,15,63.9069658,-16.7069467,278.8,4.6,8.9,Camping Berunes,
final,v4,3,2026-09-14,3,Jökulsárlón Glacial Lagoon,sight,Points of Interest,Tier 1 (S-Tier),Iconic,parking fee (per car),Paid Parking Fee (~1000 ISK),45,64.0504301,-16.1907589,278.8,4.6,8.9,Camping Berunes,
final,v4,3,2026-09-14,4,Diamond Beach,sight,Points of Interest,Tier 1 (S-Tier),Iconic,parking fee (per car),Paid Parking Fee (~1000 ISK),45,64.0427623,-16.1814722,278.8,4.6,8.9,Camping Berunes,
final,v4,3,2026-09-14,5,Höfn,town,Points of Interest,Unranked,Not assessed,unknown,Not assessed,20,64.259,-15.2063,278.8,4.6,8.9,Camping Berunes,
final,v4,3,2026-09-14,6,Stokksnes and Vestrahorn,sight,Points of Interest,Tier 1 (S-Tier),Iconic,ticket (per person),Paid Entrance Ticket (~1000 ISK),45,64.2440726,-14.964838,278.8,4.6,8.9,Camping Berunes,
final,v4,4,2026-09-15,1,Petra's Stone Collection,optional,Cultural Centres & Museums,Unranked,Not assessed,unknown,Not assessed,30,64.8354696,-13.8805212,365.9,6.4,10.3,Hlíð,
final,v4,4,2026-09-15,2,Fáskrúðsfjörður,town,Points of Interest,Unranked,Not assessed,unknown,Not assessed,20,64.9333,-14.0167,365.9,6.4,10.3,Hlíð,
final,v4,4,2026-09-15,3,Reyðarfjörður,quick,Points of Interest,Unranked,Not assessed,unknown,Not assessed,15,65.034372,-14.241071,365.9,6.4,10.3,Hlíð,
final,v4,4,2026-09-15,4,Egilsstaðir,town,,,,unknown,,20,65.2605,-14.4078,365.9,6.4,10.3,Hlíð,
final,v4,4,2026-09-15,5,Fardagafoss,quick,Waterfalls,Unranked,Not assessed,unknown,Not assessed,15,65.2649172,-14.3808291,365.9,6.4,10.3,Hlíð,
final,v4,4,2026-09-15,6,Stuðlagil Canyon,sight,,,,unknown,,35,65.1651,-15.3153,365.9,6.4,10.3,Hlíð,
